
Epoch[1] Iteration[180/402], loss: 4.3732, nitc_loss: 3.3932, ss_loss: 0.7728, citc_loss: 0.0107, ritc_loss: 0.1965, Base Lr: 9.82e-06
Epoch[1] Iteration[185/402], loss: 4.4047, nitc_loss: 3.4611, ss_loss: 0.7889, citc_loss: 0.0104, ritc_loss: 0.1443, Base Lr: 1.01e-05
Epoch[1] Iteration[190/402], loss: 4.3615, nitc_loss: 3.4928, ss_loss: 0.6903, citc_loss: 0.0105, ritc_loss: 0.1678, Base Lr: 1.03e-05
Epoch[1] Iteration[195/402], loss: 4.2066, nitc_loss: 3.2720, ss_loss: 0.7765, citc_loss: 0.0105, ritc_loss: 0.1475, Base Lr: 1.06e-05
Epoch[1] Iteration[200/402], loss: 4.3869, nitc_loss: 3.3470, ss_loss: 0.8476, citc_loss: 0.0108, ritc_loss: 0.1816, Base Lr: 1.08e-05
Epoch[1] Iteration[205/402], loss: 4.1723, nitc_loss: 3.2874, ss_loss: 0.7093, citc_loss: 0.0115, ritc_loss: 0.1640, Base Lr: 1.11e-05
Epoch[1] Iteration[210/402], loss: 4.2694, nitc_loss: 3.3255, ss_loss: 0.7370, citc_loss: 0.0106, ritc_loss: 0.1963, Base Lr: 1.13e-05
Epoch[1] Iteration[215/402], loss: 4.3218, nitc_loss: 3.3975, ss_loss: 0.7304, citc_loss: 0.0114, ritc_loss: 0.1825, Base Lr: 1.15e-05
Epoch[1] Iteration[220/402], loss: 4.2584, nitc_loss: 3.3777, ss_loss: 0.7256, citc_loss: 0.0113, ritc_loss: 0.1437, Base Lr: 1.18e-05
Epoch[1] Iteration[225/402], loss: 4.2510, nitc_loss: 3.4006, ss_loss: 0.7059, citc_loss: 0.0113, ritc_loss: 0.1332, Base Lr: 1.20e-05
Epoch[1] Iteration[230/402], loss: 4.2251, nitc_loss: 3.3871, ss_loss: 0.6947, citc_loss: 0.0112, ritc_loss: 0.1322, Base Lr: 1.23e-05
Epoch[1] Iteration[235/402], loss: 4.3180, nitc_loss: 3.3982, ss_loss: 0.7458, citc_loss: 0.0112, ritc_loss: 0.1628, Base Lr: 1.25e-05
Epoch[1] Iteration[240/402], loss: 4.3596, nitc_loss: 3.4646, ss_loss: 0.7231, citc_loss: 0.0112, ritc_loss: 0.1608, Base Lr: 1.28e-05
Epoch[1] Iteration[245/402], loss: 4.2121, nitc_loss: 3.2996, ss_loss: 0.7663, citc_loss: 0.0118, ritc_loss: 0.1344, Base Lr: 1.30e-05
Epoch[1] Iteration[250/402], loss: 4.6707, nitc_loss: 3.6505, ss_loss: 0.8498, citc_loss: 0.0114, ritc_loss: 0.1590, Base Lr: 1.33e-05
Epoch[1] Iteration[255/402], loss: 4.2573, nitc_loss: 3.4533, ss_loss: 0.6588, citc_loss: 0.0115, ritc_loss: 0.1336, Base Lr: 1.35e-05
Epoch[1] Iteration[260/402], loss: 4.3370, nitc_loss: 3.4242, ss_loss: 0.7417, citc_loss: 0.0114, ritc_loss: 0.1597, Base Lr: 1.38e-05
Epoch[1] Iteration[265/402], loss: 4.3374, nitc_loss: 3.5210, ss_loss: 0.6473, citc_loss: 0.0119, ritc_loss: 0.1572, Base Lr: 1.40e-05
Epoch[1] Iteration[270/402], loss: 4.3142, nitc_loss: 3.5034, ss_loss: 0.6318, citc_loss: 0.0117, ritc_loss: 0.1673, Base Lr: 1.43e-05
Epoch[1] Iteration[275/402], loss: 4.3750, nitc_loss: 3.4717, ss_loss: 0.7263, citc_loss: 0.0124, ritc_loss: 0.1646, Base Lr: 1.45e-05
Epoch[1] Iteration[280/402], loss: 4.2800, nitc_loss: 3.4283, ss_loss: 0.7123, citc_loss: 0.0122, ritc_loss: 0.1272, Base Lr: 1.47e-05
Epoch[1] Iteration[285/402], loss: 4.3226, nitc_loss: 3.4508, ss_loss: 0.7241, citc_loss: 0.0124, ritc_loss: 0.1354, Base Lr: 1.50e-05
Epoch[1] Iteration[290/402], loss: 4.2338, nitc_loss: 3.4253, ss_loss: 0.6584, citc_loss: 0.0119, ritc_loss: 0.1382, Base Lr: 1.52e-05
Epoch[1] Iteration[295/402], loss: 4.0920, nitc_loss: 3.3593, ss_loss: 0.5634, citc_loss: 0.0112, ritc_loss: 0.1581, Base Lr: 1.55e-05
Epoch[1] Iteration[300/402], loss: 4.3078, nitc_loss: 3.5180, ss_loss: 0.6455, citc_loss: 0.0115, ritc_loss: 0.1328, Base Lr: 1.57e-05
Epoch[1] Iteration[305/402], loss: 4.2989, nitc_loss: 3.5003, ss_loss: 0.6719, citc_loss: 0.0121, ritc_loss: 0.1146, Base Lr: 1.60e-05
Epoch[1] Iteration[310/402], loss: 4.2859, nitc_loss: 3.5112, ss_loss: 0.6211, citc_loss: 0.0121, ritc_loss: 0.1416, Base Lr: 1.62e-05
Epoch[1] Iteration[315/402], loss: 4.2839, nitc_loss: 3.4771, ss_loss: 0.6475, citc_loss: 0.0109, ritc_loss: 0.1484, Base Lr: 1.65e-05
Epoch[1] Iteration[320/402], loss: 4.1386, nitc_loss: 3.4066, ss_loss: 0.5702, citc_loss: 0.0119, ritc_loss: 0.1500, Base Lr: 1.67e-05
Epoch[1] Iteration[325/402], loss: 4.2660, nitc_loss: 3.5100, ss_loss: 0.6213, citc_loss: 0.0122, ritc_loss: 0.1224, Base Lr: 1.70e-05
Epoch[1] Iteration[330/402], loss: 4.2073, nitc_loss: 3.4680, ss_loss: 0.6081, citc_loss: 0.0124, ritc_loss: 0.1188, Base Lr: 1.72e-05
Epoch[1] Iteration[335/402], loss: 4.1277, nitc_loss: 3.4226, ss_loss: 0.5608, citc_loss: 0.0126, ritc_loss: 0.1317, Base Lr: 1.75e-05
Epoch[1] Iteration[340/402], loss: 4.2047, nitc_loss: 3.5357, ss_loss: 0.5468, citc_loss: 0.0123, ritc_loss: 0.1100, Base Lr: 1.77e-05
Epoch[1] Iteration[345/402], loss: 4.1965, nitc_loss: 3.4506, ss_loss: 0.6260, citc_loss: 0.0123, ritc_loss: 0.1076, Base Lr: 1.80e-05
Epoch[1] Iteration[350/402], loss: 4.1583, nitc_loss: 3.4441, ss_loss: 0.5833, citc_loss: 0.0123, ritc_loss: 0.1186, Base Lr: 1.82e-05
Epoch[1] Iteration[355/402], loss: 4.3393, nitc_loss: 3.4935, ss_loss: 0.7183, citc_loss: 0.0116, ritc_loss: 0.1159, Base Lr: 1.84e-05
Epoch[1] Iteration[360/402], loss: 4.2634, nitc_loss: 3.5643, ss_loss: 0.5875, citc_loss: 0.0122, ritc_loss: 0.0994, Base Lr: 1.87e-05
Epoch[1] Iteration[365/402], loss: 4.4062, nitc_loss: 3.6278, ss_loss: 0.6775, citc_loss: 0.0116, ritc_loss: 0.0894, Base Lr: 1.89e-05
Epoch[1] Iteration[370/402], loss: 4.3168, nitc_loss: 3.5346, ss_loss: 0.6387, citc_loss: 0.0121, ritc_loss: 0.1315, Base Lr: 1.92e-05
Epoch[1] Iteration[375/402], loss: 4.1696, nitc_loss: 3.5276, ss_loss: 0.5263, citc_loss: 0.0115, ritc_loss: 0.1042, Base Lr: 1.94e-05
Epoch[1] Iteration[380/402], loss: 4.2747, nitc_loss: 3.5312, ss_loss: 0.6113, citc_loss: 0.0117, ritc_loss: 0.1205, Base Lr: 1.97e-05
Epoch[1] Iteration[385/402], loss: 4.3530, nitc_loss: 3.5782, ss_loss: 0.6274, citc_loss: 0.0112, ritc_loss: 0.1362, Base Lr: 1.99e-05
Epoch[1] Iteration[390/402], loss: 4.3338, nitc_loss: 3.6278, ss_loss: 0.5997, citc_loss: 0.0119, ritc_loss: 0.0943, Base Lr: 2.02e-05
Epoch[1] Iteration[395/402], loss: 4.0711, nitc_loss: 3.5224, ss_loss: 0.4368, citc_loss: 0.0120, ritc_loss: 0.0998, Base Lr: 2.04e-05
Epoch[1] Iteration[400/402], loss: 4.3811, nitc_loss: 3.5964, ss_loss: 0.6442, citc_loss: 0.0117, ritc_loss: 0.1288, Base Lr: 2.07e-05
Epoch 1 done. Time per batch: 1.829[s] Speed: 43.7[samples/s]
Acc@1 5.70754 Acc@5 15.07088 Acc@10 21.40015 mAP 9.49982
Epoch[2] Iteration[5/402], loss: 4.2611, nitc_loss: 3.6010, ss_loss: 0.5795, citc_loss: 0.0119, ritc_loss: 0.0687, Base Lr: 2.10e-05
Epoch[2] Iteration[10/402], loss: 4.2784, nitc_loss: 3.5789, ss_loss: 0.5868, citc_loss: 0.0117, ritc_loss: 0.1009, Base Lr: 2.13e-05
Epoch[2] Iteration[15/402], loss: 4.1102, nitc_loss: 3.5057, ss_loss: 0.5128, citc_loss: 0.0130, ritc_loss: 0.0786, Base Lr: 2.15e-05
Epoch[2] Iteration[20/402], loss: 4.1684, nitc_loss: 3.4909, ss_loss: 0.5553, citc_loss: 0.0125, ritc_loss: 0.1097, Base Lr: 2.17e-05
Epoch[2] Iteration[25/402], loss: 4.1758, nitc_loss: 3.4792, ss_loss: 0.5284, citc_loss: 0.0128, ritc_loss: 0.1555, Base Lr: 2.20e-05
Epoch[2] Iteration[30/402], loss: 4.0598, nitc_loss: 3.5047, ss_loss: 0.4356, citc_loss: 0.0130, ritc_loss: 0.1065, Base Lr: 2.22e-05
Epoch[2] Iteration[35/402], loss: 4.1614, nitc_loss: 3.5695, ss_loss: 0.5146, citc_loss: 0.0123, ritc_loss: 0.0650, Base Lr: 2.25e-05
Epoch[2] Iteration[40/402], loss: 4.0604, nitc_loss: 3.4803, ss_loss: 0.4954, citc_loss: 0.0133, ritc_loss: 0.0714, Base Lr: 2.27e-05
Epoch[2] Iteration[45/402], loss: 4.2971, nitc_loss: 3.6433, ss_loss: 0.5507, citc_loss: 0.0134, ritc_loss: 0.0897, Base Lr: 2.30e-05
