
Epoch[1] Iteration[36/268], loss: 5.3940, nitc_loss: 4.0206, ss_loss: 1.4278, citc_loss: 0.0048, ritc_loss: -0.0592, Base Lr: 7.48e-06
Epoch[1] Iteration[37/268], loss: 5.2555, nitc_loss: 3.9447, ss_loss: 1.3507, citc_loss: 0.0050, ritc_loss: -0.0450, Base Lr: 7.66e-06
Epoch[1] Iteration[38/268], loss: 5.4522, nitc_loss: 4.0206, ss_loss: 1.4748, citc_loss: 0.0051, ritc_loss: -0.0483, Base Lr: 7.85e-06
Epoch[1] Iteration[39/268], loss: 5.1375, nitc_loss: 3.8262, ss_loss: 1.3549, citc_loss: 0.0051, ritc_loss: -0.0486, Base Lr: 8.03e-06
Epoch[1] Iteration[40/268], loss: 5.3407, nitc_loss: 3.9323, ss_loss: 1.4331, citc_loss: 0.0055, ritc_loss: -0.0302, Base Lr: 8.22e-06
Epoch[1] Iteration[41/268], loss: 5.1756, nitc_loss: 3.9455, ss_loss: 1.2644, citc_loss: 0.0061, ritc_loss: -0.0405, Base Lr: 8.40e-06
Epoch[1] Iteration[42/268], loss: 5.1952, nitc_loss: 3.8826, ss_loss: 1.3500, citc_loss: 0.0058, ritc_loss: -0.0432, Base Lr: 8.59e-06
Epoch[1] Iteration[43/268], loss: 5.3037, nitc_loss: 3.9867, ss_loss: 1.3536, citc_loss: 0.0062, ritc_loss: -0.0428, Base Lr: 8.77e-06
Epoch[1] Iteration[44/268], loss: 5.3625, nitc_loss: 4.0533, ss_loss: 1.3578, citc_loss: 0.0065, ritc_loss: -0.0552, Base Lr: 8.96e-06
Epoch[1] Iteration[45/268], loss: 5.2025, nitc_loss: 3.9476, ss_loss: 1.2576, citc_loss: 0.0063, ritc_loss: -0.0089, Base Lr: 9.14e-06
Epoch[1] Iteration[46/268], loss: 5.2396, nitc_loss: 3.9480, ss_loss: 1.3256, citc_loss: 0.0063, ritc_loss: -0.0404, Base Lr: 9.33e-06
Epoch[1] Iteration[47/268], loss: 5.2265, nitc_loss: 3.9550, ss_loss: 1.2950, citc_loss: 0.0061, ritc_loss: -0.0297, Base Lr: 9.51e-06
Epoch[1] Iteration[48/268], loss: 5.0779, nitc_loss: 3.8576, ss_loss: 1.2444, citc_loss: 0.0068, ritc_loss: -0.0309, Base Lr: 9.70e-06
Epoch[1] Iteration[49/268], loss: 5.2592, nitc_loss: 4.0223, ss_loss: 1.2683, citc_loss: 0.0063, ritc_loss: -0.0378, Base Lr: 9.88e-06
Epoch[1] Iteration[50/268], loss: 5.1071, nitc_loss: 3.9191, ss_loss: 1.2248, citc_loss: 0.0069, ritc_loss: -0.0437, Base Lr: 1.01e-05
Epoch[1] Iteration[51/268], loss: 5.1953, nitc_loss: 3.9037, ss_loss: 1.3021, citc_loss: 0.0065, ritc_loss: -0.0170, Base Lr: 1.03e-05
Epoch[1] Iteration[52/268], loss: 5.1545, nitc_loss: 3.9823, ss_loss: 1.2191, citc_loss: 0.0066, ritc_loss: -0.0535, Base Lr: 1.04e-05
Epoch[1] Iteration[53/268], loss: 5.1635, nitc_loss: 3.8964, ss_loss: 1.2926, citc_loss: 0.0066, ritc_loss: -0.0322, Base Lr: 1.06e-05
Epoch[1] Iteration[54/268], loss: 5.0980, nitc_loss: 3.9156, ss_loss: 1.2019, citc_loss: 0.0069, ritc_loss: -0.0264, Base Lr: 1.08e-05
Epoch[1] Iteration[55/268], loss: 5.1338, nitc_loss: 3.9330, ss_loss: 1.2338, citc_loss: 0.0073, ritc_loss: -0.0403, Base Lr: 1.10e-05
Epoch[1] Iteration[56/268], loss: 5.1294, nitc_loss: 3.8915, ss_loss: 1.2572, citc_loss: 0.0071, ritc_loss: -0.0264, Base Lr: 1.12e-05
Epoch[1] Iteration[57/268], loss: 5.0219, nitc_loss: 3.7927, ss_loss: 1.2519, citc_loss: 0.0076, ritc_loss: -0.0303, Base Lr: 1.14e-05
Epoch[1] Iteration[58/268], loss: 5.0461, nitc_loss: 3.9010, ss_loss: 1.1548, citc_loss: 0.0071, ritc_loss: -0.0169, Base Lr: 1.15e-05
Epoch[1] Iteration[59/268], loss: 5.1791, nitc_loss: 3.9995, ss_loss: 1.2056, citc_loss: 0.0080, ritc_loss: -0.0340, Base Lr: 1.17e-05
Epoch[1] Iteration[60/268], loss: 5.0093, nitc_loss: 3.8270, ss_loss: 1.2041, citc_loss: 0.0076, ritc_loss: -0.0295, Base Lr: 1.19e-05
Epoch[1] Iteration[61/268], loss: 4.8661, nitc_loss: 3.7929, ss_loss: 1.0935, citc_loss: 0.0078, ritc_loss: -0.0281, Base Lr: 1.21e-05
Epoch[1] Iteration[62/268], loss: 5.0549, nitc_loss: 3.8592, ss_loss: 1.2017, citc_loss: 0.0079, ritc_loss: -0.0139, Base Lr: 1.23e-05
Epoch[1] Iteration[63/268], loss: 5.0118, nitc_loss: 3.8647, ss_loss: 1.1616, citc_loss: 0.0082, ritc_loss: -0.0227, Base Lr: 1.25e-05
Epoch[1] Iteration[64/268], loss: 4.9404, nitc_loss: 3.8189, ss_loss: 1.1166, citc_loss: 0.0083, ritc_loss: -0.0035, Base Lr: 1.27e-05
Epoch[1] Iteration[65/268], loss: 4.9364, nitc_loss: 3.8188, ss_loss: 1.1269, citc_loss: 0.0080, ritc_loss: -0.0173, Base Lr: 1.28e-05
Epoch[1] Iteration[66/268], loss: 4.8756, nitc_loss: 3.7720, ss_loss: 1.1214, citc_loss: 0.0085, ritc_loss: -0.0263, Base Lr: 1.30e-05
Epoch[1] Iteration[67/268], loss: 4.9419, nitc_loss: 3.7713, ss_loss: 1.1537, citc_loss: 0.0083, ritc_loss: 0.0085, Base Lr: 1.32e-05
Epoch[1] Iteration[68/268], loss: 4.8617, nitc_loss: 3.7654, ss_loss: 1.1116, citc_loss: 0.0087, ritc_loss: -0.0239, Base Lr: 1.34e-05
Epoch[1] Iteration[69/268], loss: 4.8452, nitc_loss: 3.7944, ss_loss: 1.0755, citc_loss: 0.0086, ritc_loss: -0.0332, Base Lr: 1.36e-05
Epoch[1] Iteration[70/268], loss: 4.9178, nitc_loss: 3.7741, ss_loss: 1.1138, citc_loss: 0.0086, ritc_loss: 0.0213, Base Lr: 1.38e-05
Epoch[1] Iteration[71/268], loss: 4.9080, nitc_loss: 3.8415, ss_loss: 1.0916, citc_loss: 0.0088, ritc_loss: -0.0339, Base Lr: 1.40e-05
Epoch[1] Iteration[72/268], loss: 4.9506, nitc_loss: 3.8779, ss_loss: 1.0803, citc_loss: 0.0089, ritc_loss: -0.0165, Base Lr: 1.41e-05
Epoch[1] Iteration[73/268], loss: 4.8308, nitc_loss: 3.7426, ss_loss: 1.0837, citc_loss: 0.0091, ritc_loss: -0.0046, Base Lr: 1.43e-05
Epoch[1] Iteration[74/268], loss: 4.8573, nitc_loss: 3.8141, ss_loss: 1.0490, citc_loss: 0.0090, ritc_loss: -0.0147, Base Lr: 1.45e-05
Epoch[1] Iteration[75/268], loss: 4.8231, nitc_loss: 3.7595, ss_loss: 1.0340, citc_loss: 0.0091, ritc_loss: 0.0205, Base Lr: 1.47e-05
