Epoch[1] Iteration[50/214], loss: 3.7045, nitc_loss: 3.8914, ritc_loss: -0.1869, Base Lr: 1.24e-05
Epoch[1] Iteration[51/214], loss: 3.8058, nitc_loss: 4.0102, ritc_loss: -0.2044, Base Lr: 1.26e-05
Epoch[1] Iteration[52/214], loss: 3.8061, nitc_loss: 4.0025, ritc_loss: -0.1965, Base Lr: 1.28e-05
Epoch[1] Iteration[53/214], loss: 3.7542, nitc_loss: 3.9561, ritc_loss: -0.2019, Base Lr: 1.31e-05
Epoch[1] Iteration[54/214], loss: 3.7290, nitc_loss: 3.9153, ritc_loss: -0.1863, Base Lr: 1.33e-05
Epoch[1] Iteration[55/214], loss: 3.7750, nitc_loss: 3.9788, ritc_loss: -0.2038, Base Lr: 1.35e-05
Epoch[1] Iteration[56/214], loss: 3.7184, nitc_loss: 3.9303, ritc_loss: -0.2119, Base Lr: 1.38e-05
Epoch[1] Iteration[57/214], loss: 3.6452, nitc_loss: 3.8435, ritc_loss: -0.1983, Base Lr: 1.40e-05
Epoch[1] Iteration[58/214], loss: 3.7973, nitc_loss: 3.9942, ritc_loss: -0.1969, Base Lr: 1.42e-05
Epoch[1] Iteration[59/214], loss: 3.8440, nitc_loss: 4.0355, ritc_loss: -0.1914, Base Lr: 1.44e-05
Epoch[1] Iteration[60/214], loss: 3.8468, nitc_loss: 3.9830, ritc_loss: -0.1362, Base Lr: 1.47e-05
Epoch[1] Iteration[61/214], loss: 3.7980, nitc_loss: 3.9972, ritc_loss: -0.1992, Base Lr: 1.49e-05
Epoch[1] Iteration[62/214], loss: 3.6796, nitc_loss: 3.8821, ritc_loss: -0.2024, Base Lr: 1.51e-05
Epoch[1] Iteration[63/214], loss: 3.7290, nitc_loss: 3.9162, ritc_loss: -0.1872, Base Lr: 1.54e-05
Epoch[1] Iteration[64/214], loss: 3.7459, nitc_loss: 3.9388, ritc_loss: -0.1928, Base Lr: 1.56e-05
Epoch[1] Iteration[65/214], loss: 3.6616, nitc_loss: 3.8510, ritc_loss: -0.1894, Base Lr: 1.58e-05
Epoch[1] Iteration[66/214], loss: 3.7136, nitc_loss: 3.9154, ritc_loss: -0.2017, Base Lr: 1.61e-05
Epoch[1] Iteration[67/214], loss: 3.8378, nitc_loss: 4.0059, ritc_loss: -0.1681, Base Lr: 1.63e-05
Epoch[1] Iteration[68/214], loss: 3.7504, nitc_loss: 3.9399, ritc_loss: -0.1895, Base Lr: 1.65e-05
Epoch[1] Iteration[69/214], loss: 3.7255, nitc_loss: 3.9248, ritc_loss: -0.1993, Base Lr: 1.68e-05
Epoch[1] Iteration[70/214], loss: 3.7723, nitc_loss: 3.9445, ritc_loss: -0.1722, Base Lr: 1.70e-05
Epoch[1] Iteration[71/214], loss: 3.6970, nitc_loss: 3.9136, ritc_loss: -0.2167, Base Lr: 1.72e-05
Epoch[1] Iteration[72/214], loss: 3.6484, nitc_loss: 3.8501, ritc_loss: -0.2017, Base Lr: 1.75e-05
Epoch[1] Iteration[73/214], loss: 3.7723, nitc_loss: 3.9810, ritc_loss: -0.2087, Base Lr: 1.77e-05
Epoch[1] Iteration[74/214], loss: 3.6680, nitc_loss: 3.8425, ritc_loss: -0.1746, Base Lr: 1.79e-05
