Epoch[1] Iteration[49/1608], loss: 3.6095, nitc_loss: 2.3102, ritc_loss: 1.2993, Base Lr: 2.48e-06
Epoch[1] Iteration[50/1608], loss: 3.6889, nitc_loss: 2.3890, ritc_loss: 1.3000, Base Lr: 2.51e-06
Epoch[1] Iteration[51/1608], loss: 3.6757, nitc_loss: 2.3554, ritc_loss: 1.3204, Base Lr: 2.54e-06
Epoch[1] Iteration[52/1608], loss: 3.6002, nitc_loss: 2.2980, ritc_loss: 1.3021, Base Lr: 2.57e-06
Epoch[1] Iteration[53/1608], loss: 3.8924, nitc_loss: 2.5108, ritc_loss: 1.3816, Base Lr: 2.60e-06
Epoch[1] Iteration[54/1608], loss: 3.7555, nitc_loss: 2.4304, ritc_loss: 1.3251, Base Lr: 2.63e-06
Epoch[1] Iteration[55/1608], loss: 3.9501, nitc_loss: 2.5575, ritc_loss: 1.3926, Base Lr: 2.66e-06
Epoch[1] Iteration[56/1608], loss: 3.6366, nitc_loss: 2.3280, ritc_loss: 1.3086, Base Lr: 2.69e-06
Epoch[1] Iteration[57/1608], loss: 3.5521, nitc_loss: 2.2547, ritc_loss: 1.2975, Base Lr: 2.72e-06
Epoch[1] Iteration[58/1608], loss: 3.2683, nitc_loss: 2.0433, ritc_loss: 1.2250, Base Lr: 2.76e-06
Epoch[1] Iteration[59/1608], loss: 3.7908, nitc_loss: 2.4683, ritc_loss: 1.3225, Base Lr: 2.79e-06
Epoch[1] Iteration[60/1608], loss: 3.2641, nitc_loss: 2.0244, ritc_loss: 1.2397, Base Lr: 2.82e-06
Epoch[1] Iteration[61/1608], loss: 3.5176, nitc_loss: 2.2579, ritc_loss: 1.2596, Base Lr: 2.85e-06
Epoch[1] Iteration[62/1608], loss: 3.4076, nitc_loss: 2.1459, ritc_loss: 1.2616, Base Lr: 2.88e-06
Epoch[1] Iteration[63/1608], loss: 3.3890, nitc_loss: 2.1509, ritc_loss: 1.2381, Base Lr: 2.91e-06
Epoch[1] Iteration[64/1608], loss: 3.5451, nitc_loss: 2.2614, ritc_loss: 1.2837, Base Lr: 2.94e-06
Epoch[1] Iteration[65/1608], loss: 3.5466, nitc_loss: 2.2429, ritc_loss: 1.3038, Base Lr: 2.97e-06
Epoch[1] Iteration[66/1608], loss: 3.3236, nitc_loss: 2.1313, ritc_loss: 1.1923, Base Lr: 3.00e-06
Epoch[1] Iteration[67/1608], loss: 3.7446, nitc_loss: 2.3905, ritc_loss: 1.3541, Base Lr: 3.03e-06
Epoch[1] Iteration[68/1608], loss: 3.8803, nitc_loss: 2.4718, ritc_loss: 1.4085, Base Lr: 3.06e-06
Epoch[1] Iteration[69/1608], loss: 3.4055, nitc_loss: 2.0789, ritc_loss: 1.3266, Base Lr: 3.09e-06
Epoch[1] Iteration[70/1608], loss: 3.5916, nitc_loss: 2.2688, ritc_loss: 1.3228, Base Lr: 3.12e-06
Epoch[1] Iteration[71/1608], loss: 3.3365, nitc_loss: 2.0872, ritc_loss: 1.2492, Base Lr: 3.16e-06
Epoch[1] Iteration[72/1608], loss: 3.7063, nitc_loss: 2.3771, ritc_loss: 1.3292, Base Lr: 3.19e-06
Epoch[1] Iteration[73/1608], loss: 3.4981, nitc_loss: 2.1912, ritc_loss: 1.3069, Base Lr: 3.22e-06
Epoch[1] Iteration[74/1608], loss: 3.5934, nitc_loss: 2.2519, ritc_loss: 1.3416, Base Lr: 3.25e-06
Epoch[1] Iteration[75/1608], loss: 3.4551, nitc_loss: 2.1384, ritc_loss: 1.3167, Base Lr: 3.28e-06
Epoch[1] Iteration[76/1608], loss: 3.7758, nitc_loss: 2.3992, ritc_loss: 1.3767, Base Lr: 3.31e-06
Epoch[1] Iteration[77/1608], loss: 3.9102, nitc_loss: 2.5142, ritc_loss: 1.3961, Base Lr: 3.34e-06
Epoch[1] Iteration[78/1608], loss: 3.6362, nitc_loss: 2.2108, ritc_loss: 1.4254, Base Lr: 3.37e-06
Epoch[1] Iteration[79/1608], loss: 3.8055, nitc_loss: 2.3978, ritc_loss: 1.4077, Base Lr: 3.40e-06
Epoch[1] Iteration[80/1608], loss: 3.8945, nitc_loss: 2.4656, ritc_loss: 1.4289, Base Lr: 3.43e-06
Epoch[1] Iteration[81/1608], loss: 3.4045, nitc_loss: 2.1270, ritc_loss: 1.2774, Base Lr: 3.46e-06
Epoch[1] Iteration[82/1608], loss: 3.5690, nitc_loss: 2.2331, ritc_loss: 1.3359, Base Lr: 3.49e-06
Epoch[1] Iteration[83/1608], loss: 3.1373, nitc_loss: 1.9467, ritc_loss: 1.1906, Base Lr: 3.53e-06
