Epoch[1] Iteration[36/643], loss: 4.8112, nitc_loss: 3.3477, ss_loss: 1.2027, citc_loss: 0.0050, ritc_loss: 0.2558, Base Lr: 3.70e-06
Epoch[1] Iteration[37/643], loss: 4.7753, nitc_loss: 3.3586, ss_loss: 1.1627, citc_loss: 0.0047, ritc_loss: 0.2493, Base Lr: 3.77e-06
Epoch[1] Iteration[38/643], loss: 4.8881, nitc_loss: 3.3615, ss_loss: 1.2455, citc_loss: 0.0048, ritc_loss: 0.2763, Base Lr: 3.85e-06
Epoch[1] Iteration[39/643], loss: 4.7181, nitc_loss: 3.2800, ss_loss: 1.1744, citc_loss: 0.0051, ritc_loss: 0.2586, Base Lr: 3.93e-06
Epoch[1] Iteration[40/643], loss: 4.7849, nitc_loss: 3.2881, ss_loss: 1.2228, citc_loss: 0.0048, ritc_loss: 0.2692, Base Lr: 4.00e-06
Epoch[1] Iteration[41/643], loss: 4.8267, nitc_loss: 3.3262, ss_loss: 1.2427, citc_loss: 0.0054, ritc_loss: 0.2523, Base Lr: 4.08e-06
Epoch[1] Iteration[42/643], loss: 4.6915, nitc_loss: 3.2598, ss_loss: 1.1597, citc_loss: 0.0052, ritc_loss: 0.2668, Base Lr: 4.16e-06
Epoch[1] Iteration[43/643], loss: 4.6552, nitc_loss: 3.2444, ss_loss: 1.1325, citc_loss: 0.0057, ritc_loss: 0.2725, Base Lr: 4.24e-06
Epoch[1] Iteration[44/643], loss: 4.7078, nitc_loss: 3.2551, ss_loss: 1.1779, citc_loss: 0.0052, ritc_loss: 0.2695, Base Lr: 4.31e-06
Epoch[1] Iteration[45/643], loss: 4.7200, nitc_loss: 3.2555, ss_loss: 1.1809, citc_loss: 0.0063, ritc_loss: 0.2773, Base Lr: 4.39e-06
Epoch[1] Iteration[46/643], loss: 4.6636, nitc_loss: 3.1759, ss_loss: 1.2240, citc_loss: 0.0060, ritc_loss: 0.2576, Base Lr: 4.47e-06
Epoch[1] Iteration[47/643], loss: 4.5512, nitc_loss: 3.1319, ss_loss: 1.1507, citc_loss: 0.0063, ritc_loss: 0.2623, Base Lr: 4.54e-06
Epoch[1] Iteration[48/643], loss: 4.5040, nitc_loss: 3.1309, ss_loss: 1.1041, citc_loss: 0.0065, ritc_loss: 0.2624, Base Lr: 4.62e-06
Epoch[1] Iteration[49/643], loss: 4.7249, nitc_loss: 3.3124, ss_loss: 1.1410, citc_loss: 0.0066, ritc_loss: 0.2649, Base Lr: 4.70e-06
Epoch[1] Iteration[50/643], loss: 4.7243, nitc_loss: 3.3496, ss_loss: 1.0877, citc_loss: 0.0070, ritc_loss: 0.2799, Base Lr: 4.78e-06
Epoch[1] Iteration[51/643], loss: 4.4444, nitc_loss: 3.1081, ss_loss: 1.0588, citc_loss: 0.0072, ritc_loss: 0.2703, Base Lr: 4.85e-06
Epoch[1] Iteration[52/643], loss: 4.5509, nitc_loss: 3.1500, ss_loss: 1.0861, citc_loss: 0.0060, ritc_loss: 0.3089, Base Lr: 4.93e-06
Epoch[1] Iteration[53/643], loss: 4.5939, nitc_loss: 3.1828, ss_loss: 1.1382, citc_loss: 0.0073, ritc_loss: 0.2657, Base Lr: 5.01e-06
Epoch[1] Iteration[54/643], loss: 4.4924, nitc_loss: 3.0418, ss_loss: 1.1415, citc_loss: 0.0073, ritc_loss: 0.3019, Base Lr: 5.08e-06
Epoch[1] Iteration[55/643], loss: 4.7633, nitc_loss: 3.2741, ss_loss: 1.1846, citc_loss: 0.0080, ritc_loss: 0.2967, Base Lr: 5.16e-06
Epoch[1] Iteration[56/643], loss: 4.4878, nitc_loss: 3.0418, ss_loss: 1.1555, citc_loss: 0.0081, ritc_loss: 0.2825, Base Lr: 5.24e-06
Epoch[1] Iteration[57/643], loss: 4.5980, nitc_loss: 3.1631, ss_loss: 1.1004, citc_loss: 0.0079, ritc_loss: 0.3266, Base Lr: 5.31e-06
Epoch[1] Iteration[58/643], loss: 4.5468, nitc_loss: 3.1513, ss_loss: 1.1060, citc_loss: 0.0092, ritc_loss: 0.2803, Base Lr: 5.39e-06
Epoch[1] Iteration[59/643], loss: 4.5745, nitc_loss: 3.1193, ss_loss: 1.1242, citc_loss: 0.0082, ritc_loss: 0.3228, Base Lr: 5.47e-06
Epoch[1] Iteration[60/643], loss: 4.4653, nitc_loss: 3.0970, ss_loss: 1.0548, citc_loss: 0.0081, ritc_loss: 0.3053, Base Lr: 5.55e-06
Epoch[1] Iteration[61/643], loss: 4.4466, nitc_loss: 3.0668, ss_loss: 1.0714, citc_loss: 0.0086, ritc_loss: 0.2998, Base Lr: 5.62e-06
Epoch[1] Iteration[62/643], loss: 4.5541, nitc_loss: 3.1114, ss_loss: 1.1144, citc_loss: 0.0085, ritc_loss: 0.3198, Base Lr: 5.70e-06
Epoch[1] Iteration[63/643], loss: 4.3423, nitc_loss: 2.9941, ss_loss: 1.0167, citc_loss: 0.0084, ritc_loss: 0.3231, Base Lr: 5.78e-06
Epoch[1] Iteration[64/643], loss: 4.3658, nitc_loss: 3.0307, ss_loss: 1.0084, citc_loss: 0.0076, ritc_loss: 0.3191, Base Lr: 5.85e-06
Epoch[1] Iteration[65/643], loss: 4.3438, nitc_loss: 2.9460, ss_loss: 1.0599, citc_loss: 0.0083, ritc_loss: 0.3295, Base Lr: 5.93e-06
Epoch[1] Iteration[66/643], loss: 4.3774, nitc_loss: 3.0812, ss_loss: 0.9735, citc_loss: 0.0106, ritc_loss: 0.3120, Base Lr: 6.01e-06
Epoch[1] Iteration[67/643], loss: 4.2403, nitc_loss: 2.9822, ss_loss: 0.9710, citc_loss: 0.0085, ritc_loss: 0.2786, Base Lr: 6.08e-06
Epoch[1] Iteration[68/643], loss: 4.4050, nitc_loss: 3.0557, ss_loss: 1.0145, citc_loss: 0.0091, ritc_loss: 0.3257, Base Lr: 6.16e-06
Epoch[1] Iteration[69/643], loss: 4.3081, nitc_loss: 2.9310, ss_loss: 1.0407, citc_loss: 0.0088, ritc_loss: 0.3276, Base Lr: 6.24e-06
Epoch[1] Iteration[70/643], loss: 4.4621, nitc_loss: 3.0908, ss_loss: 1.0277, citc_loss: 0.0098, ritc_loss: 0.3337, Base Lr: 6.32e-06
Epoch[1] Iteration[71/643], loss: 4.4759, nitc_loss: 3.0398, ss_loss: 1.1057, citc_loss: 0.0096, ritc_loss: 0.3209, Base Lr: 6.39e-06
